factor_list,factor_display_name,factor_category,effect_direction
SOE_TTM_Abnormal,sales_growth,Growth,Positive
SOA_TTM_Abnormal,sales_growth,Growth,Positive
OPOE_TTM_Abnormal,profitability_growth,Growth,Positive
OPOA_TTM_Abnormal,profitability_growth,Growth,Positive
CFOOE_TTM_Abnormal,cashflow_growth,Growth,Positive
CFOOA_TTM_Abnormal,cashflow_growth,Growth,Positive
ARTOS_TTM_Abnormal,earnings_inflation,Earnings Management,Negative
S_TTM_Abnormal,sales_growth,Growth,Positive
profitability_growth_TTM,profitability_growth,Growth,Positive
sales_growth_TTM,sales_growth,Growth,Positive
cashflow_growth_TTM,cashflow_growth,Growth,Positive
noncashsales_growth_TTM,earnings_inflation,Earnings Management,Negative
Noncash_WC,earnings_inflation,Earnings Management,Negative
TOTALACCRUAL,earnings_inflation,Earnings Management,Negative
CashSales_Chg,sales_growth,Growth,Positive
PPETA,RND,R&D,Positive
RNDOE,RND,R&D,Positive
RNDOA,RND,R&D,Positive
RNDOE_gr_1yr,RND_growth,R&D,Positive
RNDOA_gr_1yr,RND_growth,R&D,Positive
RNDOE_gr_2yr,RND_growth,R&D,Positive
RNDOA_gr_2yr,RND_growth,R&D,Positive
RND,RND,R&D,Positive
RND_growth,RND_growth,R&D,Positive
ROEVar,profit_variability,Earnings Variability,Negative
ROAVar,profit_variability,Earnings Variability,Negative
ROEGrVar,profit_growth_variability,Earnings Variability,Negative
ROAGrVar,profit_growth_variability,Earnings Variability,Negative
profit_variability,profit_variability,Earnings Variability,Negative
profit_growth_variability,profit_growth_variability,Earnings Variability,Negative
Leverage,Solvency,Solvency,Negative
DebtTA,Solvency,Solvency,Negative
CurrentRatio,Liquidity,Liquidity,Positive
DivYield,Dividend_Yield,Payout,Positive
DivYield_growth,Dividend_Yield,Payout,Positive
UNLOCKAMTTTTUNLOCKAMT,unlock_proportion,Unlock Event,Negative
UNLOCKAMTTMKTCAP,unlock_proportion,Unlock Event,Negative
unlock_proportion,unlock_proportion,Unlock Event,Negative
Positive_NUM,Analyst_Positive_View,Analyst View,Positive
Positive_PROP,Analyst_Positive_View,Analyst View,Positive
TPTP,Analyst_Positive_View,Analyst View,Positive
EPTTM,Valuation,Valuation,Positive
SPTTM,Valuation,Valuation,Positive
ESTEP,Valuation,Valuation,Positive
EPDYNAMIC,Valuation,Valuation,Positive
CFCFOPTTM,Valuation,Valuation,Positive
ASSET_gr_1yr,Empire_Building,Empire Building,Negative
BV_gr_1yr,Empire_Building,Empire Building,Negative
SH_gr_1yr,Empire_Building,Empire Building,Negative
ASSET_gr_2yr,Empire_Building,Empire Building,Negative
BV_gr_2yr,Empire_Building,Empire Building,Negative
SH_gr_2yr,Empire_Building,Empire Building,Negative
ASSET_Abnormal,Empire_Building,Empire Building,Negative
BV_Abnormal,Empire_Building,Empire Building,Negative
SH_Abnormal,Empire_Building,Empire Building,Negative
Empire_Building,Empire_Building,Empire Building,Negative
