,Dymon-AQUMON,Dymon-AQUMON (VaR-adjusted),PLMAX US Equity,MERKX US Equity,ICPHX US Equity
2013/1/8,,,,,
2013/1/9,,,,,
2013/1/10,,,,,
2013/1/11,,,,,
2013/1/14,,,,,
2013/1/15,,,,,
2013/1/16,,,,,
2013/1/17,,,,,
2013/1/18,,,,,
2013/1/21,,,,,
2013/1/22,,,,,
2013/1/23,,,,,
2013/1/24,,,,,
2013/1/25,,,,,
2013/1/28,,,,,
2013/1/29,,,,,
2013/1/30,,,,,
2013/1/31,,,,,
2013/2/1,,,,,
2013/2/4,,,,,
2013/2/5,,,,,
2013/2/6,,,,,
2013/2/7,,,,,
2013/2/8,,,,,
2013/2/11,,,,,
2013/2/12,,,,,
2013/2/13,,,,,
2013/2/14,,,,,
2013/2/15,,,,,
2013/2/18,,,,,
2013/2/19,,,,,
2013/2/20,,,,,
2013/2/21,,,,,
2013/2/22,,,,,
2013/2/25,,,,,
2013/2/26,,,,,
2013/2/27,,,,,
2013/2/28,,,,,
2013/3/1,,,,,
2013/3/4,,,,,
2013/3/5,,,,,
2013/3/6,,,,,
2013/3/7,,,,,
2013/3/8,,,,,
2013/3/11,,,,,
2013/3/12,,,,,
2013/3/13,,,,,
2013/3/14,,,,,
2013/3/15,,,,,
2013/3/18,,,,,
2013/3/19,,,,,
2013/3/20,,,,,
2013/3/21,,,,,
2013/3/22,,,,,
2013/3/25,,,,,
2013/3/26,,,,,
2013/3/27,,,,,
2013/3/28,,,,,
2013/3/29,,,,,
2013/4/1,,,,,
2013/4/2,,,,,
2013/4/3,,,,,
2013/4/4,,,,,
2013/4/5,,,,,
2013/4/8,,,,,
2013/4/9,,,,,
2013/4/10,,,,,
2013/4/11,,,,,
2013/4/12,,,,,
2013/4/15,,,,,
2013/4/16,,,,,
2013/4/17,,,,,
2013/4/18,,,,,
2013/4/19,,,,,
2013/4/22,,,,,
2013/4/23,,,,,
2013/4/24,,,,,
2013/4/25,,,,,
2013/4/26,,,,,
2013/4/29,,,,,
2013/4/30,,,,,
2013/5/1,,,,,
2013/5/2,,,,,
2013/5/3,,,,,
2013/5/6,,,,,
2013/5/7,,,,,
2013/5/8,,,,,
2013/5/9,,,,,
2013/5/10,,,,,
2013/5/13,,,,,
2013/5/14,,,,,
2013/5/15,,,,,
2013/5/16,,,,,
2013/5/17,,,,,
2013/5/20,,,,,
2013/5/21,,,,,
2013/5/22,,,,,
2013/5/23,,,,,
2013/5/24,,,,,
2013/5/27,,,,,
2013/5/28,,,,,
2013/5/29,,,,,
2013/5/30,,,,,
2013/5/31,,,,,
2013/6/3,,,,,
2013/6/4,,,,,
2013/6/5,,,,,
2013/6/6,,,,,
2013/6/7,,,,,
2013/6/10,,,,,
2013/6/11,,,,,
2013/6/12,,,,,
2013/6/13,,,,,
2013/6/14,,,,,
2013/6/17,,,,,
2013/6/18,,,,,
2013/6/19,,,,,
2013/6/20,,,,,
2013/6/21,,,,,
2013/6/24,,,,,
2013/6/25,,,,,
2013/6/26,,,,,
2013/6/27,,,,,
2013/6/28,,,,,
2013/7/1,,,,,
2013/7/2,,,,,
2013/7/3,,,,,
2013/7/4,,,,,
2013/7/5,,,,,
2013/7/8,,,,,
2013/7/9,,,,,
2013/7/10,,,,,
2013/7/11,,,,,
2013/7/12,,,,,
2013/7/15,,,,,
2013/7/16,,,,,
2013/7/17,,,,,
2013/7/18,,,,,
2013/7/19,,,,,
2013/7/22,,,,,
2013/7/23,,,,,
2013/7/24,,,,,
2013/7/25,,,,,
2013/7/26,,,,,
2013/7/29,,,,,
2013/7/30,,,,,
2013/7/31,,,,,
2013/8/1,,,,,
2013/8/2,,,,,
2013/8/5,,,,,
2013/8/6,,,,,
2013/8/7,,,,,
2013/8/8,,,,,
2013/8/9,,,,,
2013/8/12,,,,,
2013/8/13,,,,,
2013/8/14,,,,,
2013/8/15,,,,,
2013/8/16,,,,,
2013/8/19,,,,,
2013/8/20,,,,,
2013/8/21,,,,,
2013/8/22,,,,,
2013/8/23,,,,,
2013/8/26,,,,,
2013/8/27,,,,,
2013/8/28,,,,,
2013/8/29,,,,,
2013/8/30,,,,,
2013/9/2,,,,,
2013/9/3,,,,,
2013/9/4,,,,,
2013/9/5,,,,,
2013/9/6,,,,,
2013/9/9,,,,,
2013/9/10,,,,,
2013/9/11,,,,,
2013/9/12,,,,,
2013/9/13,,,,,
2013/9/16,,,,,
2013/9/17,,,,,
2013/9/18,,,,,
2013/9/19,,,,,
2013/9/20,,,,,
2013/9/23,,,,,
2013/9/24,,,,,
2013/9/25,,,,,
2013/9/26,,,,,
2013/9/27,,,,,
2013/9/30,,,,,
2013/10/1,,,,,
2013/10/2,,,,,
2013/10/3,,,,,
2013/10/4,,,,,
2013/10/7,,,,,
2013/10/8,,,,,
2013/10/9,,,,,
2013/10/10,,,,,
2013/10/11,,,,,
2013/10/14,,,,,
2013/10/15,,,,,
2013/10/16,,,,,
2013/10/17,,,,,
2013/10/18,,,,,
2013/10/21,,,,,
2013/10/22,,,,,
2013/10/23,,,,,
2013/10/24,,,,,
2013/10/25,,,,,
2013/10/28,,,,,
2013/10/29,,,,,
2013/10/30,,,,,
2013/10/31,,,,,
2013/11/1,,,,,
2013/11/4,,,,,
2013/11/5,,,,,
2013/11/6,,,,,
2013/11/7,,,,,
2013/11/8,,,,,
2013/11/11,,,,,
2013/11/12,,,,,
2013/11/13,,,,,
2013/11/14,,,,,
2013/11/15,,,,,
2013/11/18,,,,,
2013/11/19,,,,,
2013/11/20,,,,,
2013/11/21,,,,,
2013/11/22,,,,,
2013/11/25,,,,,
2013/11/26,,,,,
2013/11/27,,,,,
2013/11/28,,,,,
2013/11/29,,,,,
2013/12/2,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/3,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/4,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/5,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/6,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/9,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/10,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/11,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/12,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/13,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/16,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/17,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/18,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/19,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/20,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/23,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/24,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/25,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/26,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/27,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/30,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2013/12/31,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/1,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/2,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/3,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/6,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/7,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/8,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/9,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/10,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/13,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/14,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/15,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/16,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/17,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/20,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/21,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/22,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/23,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/24,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/27,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/28,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/29,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/30,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/1/31,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/2/3,-0.0040420166785347655,-0.01109227726101114,-0.008871989769051902,-0.01060070613097297,-0.0072028814374200945
2014/2/4,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.01060070613097297,-0.007159903815041391
2014/2/5,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.01060070613097297,-0.007159903815041391
2014/2/6,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.01060070613097297,-0.007159903815041391
2014/2/7,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.01060070613097297,-0.007159903815041391
2014/2/10,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.01060070613097297,-0.007159903815041391
2014/2/11,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.01060070613097297,-0.007159903815041391
2014/2/12,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/13,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/14,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/17,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/18,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/19,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/20,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/21,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/24,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/25,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/26,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/27,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/2/28,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/3,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/4,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/5,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/6,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/7,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/10,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/11,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/12,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/13,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/14,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/17,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/18,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/19,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/20,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/21,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/24,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/25,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/26,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/27,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/28,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/3/31,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/1,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/2,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/3,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/4,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/7,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/8,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/9,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/10,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/11,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/14,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/15,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/16,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/17,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/18,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/21,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/22,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/23,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/24,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/25,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/28,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/29,-0.0040420166785347655,-0.01109227726101114,-0.008674101524593247,-0.010344827978370996,-0.007159903815041391
2014/4/30,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/1,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/2,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/5,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/6,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/7,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/8,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/9,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/12,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/13,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/14,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/15,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/16,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/19,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/20,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/21,-0.0040420166785347655,-0.01109227726101114,-0.008599508514675835,-0.010344827978370996,-0.006864988830477703
2014/5/22,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/5/23,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/5/26,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/5/27,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/5/28,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/5/29,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/5/30,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/6/2,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/6/3,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/6/4,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/6/5,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
2014/6/6,-0.0040420166785347655,-0.01109227726101114,-0.007623888386858124,-0.009717314282602807,-0.005938242518661152
